row,column,value
3,16,
3,17,
3,12,
3,13,
3,14,
3,15,
5,16,WD
5,13,WD
6,16,WD
6,17,WD
6,5,100%
6,14,WD
6,13,WD
8,16,
8,1,N/A
8,2,N/A
8,3,N/A
8,5,N/A
8,6,N/A
8,17,
8,12,
8,13,
8,14,
8,15,
9,16,
9,1,N/A
9,2,N/A
9,3,N/A
9,5,N/A
9,6,N/A
9,17,
9,12,
9,13,
9,14,
9,15,
10,1,N/A
10,2,N/A
10,3,N/A
10,4,N/A
10,5,N/A
10,6,N/A
11,1,N/A
11,2,N/A
11,3,N/A
11,4,N/A
11,5,N/A
11,6,N/A
11,10,N/A
11,11,N/A
11,12,
11,13,
11,14,
11,15,
11,16,
11,17,
12,1,N/A
12,2,N/A
12,3,N/A
12,4,N/A
12,5,N/A
12,6,N/A
12,10,N/A
12,11,N/A
12,12,
12,13,
12,14,
12,15,
12,16,
12,17,
13,16,
13,17,
13,12,
13,13,
13,14,
13,15,
14,16,WD
14,13,WD
14,15,WD
15,16,
15,17,
15,12,
15,13,
15,14,
15,15,
16,16,
16,17,
16,12,
16,13,
16,14,
16,15,
18,16,WD
20,16,
20,17,
20,12,
20,13,
20,14,
20,15,
23,16,WD
23,17,WD
23,13,WD
23,15,WD
24,16,WD
24,17,WD
24,3,N/A
24,13,WD
25,3,N/A
26,3,N/A
28,16,WD
28,1,100%
28,4,100%
28,17,WD
28,13,WD
28,14,WD
28,15,WD
30,16,
30,1,100%
30,5,100%
30,17,
30,12,
30,13,
30,14,
30,15,
31,16,
31,17,
31,12,
31,13,
31,14,
31,15,
32,16,WD
32,13,WD
32,14,WD
32,15,WD
33,16,
33,17,
33,12,
33,13,
33,14,
33,15,
34,16,
34,1,100%
34,2,100%
34,5,100%
34,17,
34,12,
34,13,
34,14,
34,15,
35,16,
35,1,100%
35,17,
35,12,
35,13,
35,14,
35,15,
37,17,WD
38,2,N/A
38,3,N/A
38,5,N/A
38,6,N/A
39,16,WD
40,2,N/A
40,3,N/A
40,6,N/A
41,1,N/A
41,2,N/A
41,3,N/A
41,4,N/A
41,5,N/A
41,6,N/A
42,2,N/A
42,3,N/A
42,6,N/A
43,2,N/A
43,3,N/A
43,6,N/A
44,16,
44,1,100%
44,4,100%
44,17,
44,12,
44,13,
44,14,
44,15,
47,16,
47,17,
47,12,
47,13,
47,14,
47,15,
48,13,WD
50,16,WD
50,17,WD
50,2,N/A
50,3,N/A
50,5,N/A
50,6,N/A
50,13,WD
50,15,WD
51,16,WD
51,13,WD
51,15,WD
54,16,
54,1,100%
54,4,100%
54,17,
54,12,
54,13,
54,14,
54,15,
55,16,
55,17,
55,2,N/A
55,3,N/A
55,5,N/A
55,6,N/A
55,12,
55,13,
55,14,
55,15,
56,16,
56,1,100%
56,2,N/A
56,3,N/A
56,5,N/A
56,6,N/A
56,17,
56,12,
56,13,
56,14,
56,15,
57,16,
57,17,
57,12,
57,13,
57,14,
57,15,
58,16,
58,17,
58,12,
58,13,
58,14,
58,15,
59,16,
59,17,
59,4,100%
59,12,
59,13,
59,14,
59,15,
60,16,
60,17,
60,2,N/A
60,3,N/A
60,5,N/A
60,6,N/A
60,12,
60,13,
60,14,
60,15,
63,16,
63,17,
63,12,
63,13,
63,14,
63,15,
64,1,N/A
64,2,N/A
64,3,N/A
64,4,N/A
64,5,N/A
64,6,N/A
64,17,WD
64,14,WD
64,15,WD
70,3,N/A
71,11,N/A
71,10,N/A
71,3,N/A
73,17,WD
73,2,N/A
73,3,N/A
73,6,N/A
74,16,
74,17,
74,12,
74,13,
74,14,
74,15,
75,16,
75,17,
75,12,
75,13,
75,14,
75,15,
76,16,WD
76,17,WD
76,13,WD
76,14,WD
76,15,WD
78,16,WD
79,16,WD
79,1,N/A
79,2,N/A
79,3,N/A
79,5,N/A
79,6,N/A
79,17,WD
79,13,WD
79,14,WD
79,15,WD
80,13,WD
81,16,WD
81,2,N/A
81,3,N/A
81,5,N/A
81,6,N/A
81,13,WD
81,15,WD
83,16,WD
83,14,WD
83,15,WD
84,16,
84,17,
84,12,
84,13,
84,14,
84,15,
85,16,
85,17,
85,12,
85,13,
85,14,
85,15,
86,16,WD
86,17,WD
86,2,100%
