id,name,address,city,state,zipcode,phone,rating,reviews,ranking
5000,Uncle Joe's Jerk,8211 S Cottage Grove Ave,Chicago,IL,60619,(773) 962-9935,4,1,0
5001,Laface Cafe,850 S Wabash Ave,Chicago,IL,60605,(312) 353-0230,0,0,0
5002,Lagniappe Creole Cajun Joynt,1525 W 79th St,Chicago,IL,60620,(773) 994-6375,0,0,0
5003,Lahaciendita,3322 W 47th St,Chicago,IL,60632,(773) 523-3208,0,0,0
5004,Lahore Food & Grill,2116 W Devon Ave,Chicago,IL,60659,(773) 761-4919,0,0,0
5005,Lai Lai Korean Express,330 S Wells St,Chicago,IL,60606,(312) 986-8009,0,0,0
5006,Lake & Union Restaurant & Lounge,666 W Lake St,Chicago,IL,60661,(312) 559-0036,0,0,0
5007,Lake Breeze Restaurant,1116 W Thorndale Ave,Chicago,IL,60660,(773) 271-4689,0,0,0
5008,Lake Dental Laboratories,5962 N Lincoln Ave Ste 1,Chicago,IL,60659,(773) 878-1817,0,0,0
5009,Lake Side Cafe,1418 W Howard,Chicago,IL,60626,(773) 262-9503,0,0,0
5010,Lalich Delicatessens,4208 W Lawrence Ave,Chicago,IL,60630,(773) 545-3642,0,0,0
5011,Lalo Restaurant,4126 W 26th St,Chicago,IL,60623,(773) 762-1505,0,0,0
5012,Lalo's Mexican Restaurant,5700 S Cicero Ave,Chicago,IL,60638,(773) 838-1604,0,0,0
5013,Lalo's Mexican Restaurant At University Village,733 W Maxwell St,Chicago,IL,60607,(312) 455-9380,0,0,0
5014,Lalos Restaurant Clybounr,1960 N Clybourn Ave,Chicago,IL,60614,(773) 296-1485,0,0,0
5015,Lam Express E & W,19 N Wabash Ave,Chicago,IL,60602,(312) 332-4388,0,0,0
5016,Landmark Grill,1633 N Halsted St,Chicago,IL,60614,(312) 587-1600,0,0,0
5017,Lao Beijing Restaurant,2138 S Archer Ave,Chicago,IL,60616,(312) 881-0168,0,0,0
5018,Lao Shang Hai Restaurant,2163 S China Pl,Chicago,IL,60616,(312) 808-0830,0,0,0
5019,Lao Sze Chuan,2172 S Archer Ave,Chicago,IL,60616,(312) 326-5040,0,0,0
5020,Lao You Ju Restaurant & Bar,2002 S Wentworth Ave,Chicago,IL,60616,(312) 225-7818,0,0,0
5021,Laplacita Durango,5141 S Kedzie Ave,Chicago,IL,60632,(773) 434-3711,0,0,0
5022,Laramie Bakery & Deli,3012 N Laramie Ave,Chicago,IL,60641,(773) 725-4965,0,0,0
