"id","movie_name","directors","actors","movie_rating","genre","duration"
0,"High-Rise","Ben Wheatley","Tom Hiddleston, Jeremy Irons, Sienna Miller","6.8","Action, Drama, Sci-Fi","112 min "
1,"Mercy for Angels","K.C. Amos","Vida Guerra, Emilio Rivera, John Amos","6.2","Action, Drama, Thriller","91 min "
2,"Wind Walkers","Russell Friedenberg","Glen Powell, Zane Holtz, Rudy Youngblood","5.6","Action, Horror, Thriller","93 min "
3,"Alcatraz Prison Escape: Deathbed Confession","John Edward Lee","Danny Trejo, Ed O'Ross, Shelby Deekins","6.6","Action, Crime","93 min "
4,"Barely Lethal","Kyle Newman","Jaime King, Samuel L. Jackson, Madeleine Stack","5.3","Action, Adventure, Comedy","96 min "
5,"The Adderall Diaries","Pamela Romanowsky","Amber Heard, James Franco, Christian Slater","6.4","Action, Drama, Thriller","105 min "
6,"The Sadist","Jeremiah Kipp","Tom Savini, Frank Wihbey, Santo Fazio","5.1","Action, Horror, Mystery","76 min "
7,"Heroes of Dirt","Eric Bugbee","Joel Moody, William Martinez, Vivienne VanHorn","7.1","Action, Drama, Sport","98 min "
8,"The Challenger","Kent Moran","Kent Moran, Michael Clarke Duncan, S. Epatha Merkerson","7.6","Action, Drama","95 min "
9,"Six Gun Savior","Kirk Murray","Eric Roberts, Matthew Ziff, Martin Kove","5.8","Action, Adventure, Drama","100 min "
10,"The Cain Complex","Marcello Zamarripa","Marcello Zamarripa, Billy Blair, Sue Rock","5.2","Action, Thriller","86 min "
11,"Diamond Ruff","Alec Asten","Felicia Pearson, Fredro Starr, Michael Barra","4.1","Action","82 min "
12,"Final Girl","Tyler Shields","Abigail Breslin, Wes Bentley, Logan Huffman","4.6","Action, Drama, Thriller","90 min "
13,"Dragon Warriors","Maclain Nelson","James Marsters, Kaitlin Doubleday, Luke Perry","8.4","Action, Comedy, Fantasy","122 min "
14,"Landmine Goes Click","Levan Bakhia","Sterling Knight, Spencer Locke, Dean Geyer","7.1","Action, Crime, Drama","110 min "
15,"Run All Night","Jaume Collet-Serra","Liam Neeson, Ed Harris, Joel Kinnaman","6.6","Action, Crime, Drama","114 min "
16,"American Rescue Squad","Elliot Diviney","Tony D. Czech, Douglas Sidney, KariAnn Christensen","7","Action, Comedy, Musical","90 min "
17,"Americons","Theo Avgerinos","Beau Martin Williams, Matt Funke, Trai Byers","7.2","Action, Biography, Crime","88 min "
18,"i","S. Shankar","'Chiyaan' Vikram, Amy Jackson, Suresh Gopi","7.8","Action, Romance, Thriller","170 min "
19,"The Hunted","Robert Chapin","Robert Chapin, Monique Ganderton, David Lain Baker","5.4","Action, Thriller","90 min "
20,"Orion","Asiel Norton","David Arquette, Lily Cole, Goran Kostic","6.8","Action, Drama, Fantasy","110 min "
21,"Soldiers of the Damned","Mark Nuttall","Gil Darnell, Miriam Cooke, Lucas Hansen","3.7","Action, Horror, Thriller","99 min "
22,"Tracers","Daniel Benmayor","Taylor Lautner, Marie Avgeropoulos, Adam Rayner","5.6","Action, Crime, Drama","94 min "
23,"Gabbar is Back","Radha Krishna Jagarlamudi","Akshay Kumar, Shruti K. Haasan, Sunil Grover","7.3","Action, Crime, Drama","128 min "
24,"Beyond the Mask","Chad Burns","Andrew Cheney, John Rhys-Davies, Kara Killmer","5.2","Action, Drama","103 min "
25,"Fight Like a Girl","Daniel Armstrong","Elke Berry, Mick Preston, Jenna Dwyer","5.2","Action, Comedy, Horror","90 min "
26,"Fight Like a Girl","Daniel Armstrong","Elke Berry, Mick Preston, Jenna Dwyer","5.2","Action, Comedy, Horror","90 min "
27,"Ti mene nosis","Ivona Juka","Lana Baric, Vojislav Brajovic, Natasa Janjic","7.4","Action, Drama, Family","155 min "
28,"Last Knights","Kazuaki Kiriya","Clive Owen, Morgan Freeman, Aksel Hennie","6.2","Action, Adventure","115 min "
29,"Broken Horses","Vidhu Vinod Chopra","Anton Yelchin, Chris Marquette, Vincent D'Onofrio","5.7","Action, Crime, Drama","101 min "
30,"The Gunman","Pierre Morel","Sean Penn, Idris Elba, Jasmine Trinca","5.8","Action, Crime, Drama","115 min "
31,"Lockhart","Rocky Collins","David A. Lockhart, Lina Bubisa, Vanessa Angel","7.2","Action, Adventure, Thriller","106 min "
32,"Darkest Day","Dan Rickard","Dan Rickard, Chris Wandell, Samantha Bolter","3.2","Action, Adventure, Horror","90 min "
33,"Baahubali: The Beginning","S.S. Rajamouli","Prabhas, Rana Daggubati, Anushka Shetty","8.8","Action, Adventure, History","159 min "
34,"Blackhat","Michael Mann","Chris Hemsworth, Viola Davis, Wei Tang","5.4","Action, Crime, Drama","133 min "
35,"Gridlocked","Allan Ungar","Dominic Purcell, Cody Hackman, Stephen Lang","7.1","Action","110 min "
36,"Grainne Uaile-The Movie","Ciaran Davies","Fionnuala Collins, Ciaran Davies, Peter Cosgrove","7.1","Action","180 min "
