"ltable_id","rtable_id","gold"
22,2169,0
44,291,0
63,2275,0
84,2070,0
98,3259,0
104,2333,0
131,2083,0
131,3100,0
131,3429,0
133,2301,0
146,2087,0
150,2092,0
154,2251,0
154,3161,0
155,2497,0
158,2273,0
161,1093,0
171,2509,0
190,2293,0
199,2327,0
214,2253,0
230,2298,0
245,2257,0
268,2437,0
268,6396,0
287,637,0
324,2308,0
326,2679,0
327,2270,0
327,4976,0
327,5425,0
338,2951,0
361,3980,0
381,106,0
387,1545,0
413,1743,0
416,3667,0
429,727,0
429,728,0
429,2053,0
441,253,0
455,1623,0
465,2185,0
473,497,0
498,115,0
499,2417,0
503,635,0
543,221,0
551,780,0
582,67,0
582,423,0
586,1371,0
593,1163,0
595,3787,0
625,64,0
626,5623,0
632,1742,0
645,30,0
650,239,0
652,338,0
663,46,0
666,3204,0
666,6241,0
672,15,0
705,28,0
713,307,0
719,4861,0
720,510,0
721,440,0
742,316,0
745,370,0
747,34,0
751,87,0
759,1011,0
772,52,0
773,317,0
774,6473,0
780,2827,0
786,220,0
790,204,0
835,499,0
859,319,0
860,215,0
901,1153,0
907,313,0
917,216,0
933,2252,0
947,200,0
957,345,0
970,214,0
983,320,0
996,310,0
1009,286,0
1019,209,0
1033,309,0
1033,1528,0
1033,3631,0
1033,3632,0
1033,3861,0
1033,3862,0
1034,257,0
1034,3017,0
1038,232,0
1038,398,0
1044,381,0
1047,6446,0
1054,362,0
1063,211,0
1063,4131,0
1063,4463,0
1064,258,0
1078,292,0
1078,972,0
1078,1509,0
1078,4697,0
1092,1322,0
1121,222,0
1122,285,0
1122,907,0
1134,1263,0
1137,201,0
1137,3418,0
1142,637,0
1159,219,0
1168,235,0
1168,901,0
1171,2504,0
1171,5068,0
1189,810,0
1220,279,0
1220,6544,0
1223,230,0
1227,242,0
1229,2228,0
1231,256,0
1232,688,0
1233,237,0
1238,248,0
1238,3682,0
1240,633,0
1244,334,0
1245,1117,0
1246,2177,0
1251,653,0
1255,208,0
1271,297,0
1273,4414,0
1304,271,0
1309,202,0
1315,2454,0
1316,207,0
1318,218,0
1335,568,0
1337,575,0
1337,3994,0
1345,960,0
1349,4116,0
1349,4453,0
1349,4853,0
1353,934,0
1360,335,0
1360,3496,0
1366,265,0
1376,733,0
1394,226,0
1396,666,0
1410,640,0
1413,573,0
1416,690,0
1438,929,0
1449,773,0
1451,617,0
1462,639,0
1464,607,0
1492,6243,0
1494,1668,0
1496,581,0
1499,591,0
1506,572,0
1507,585,0
1524,4334,0
1532,784,0
1533,753,0
1535,569,0
1547,865,0
1553,636,0
1577,6138,0
1579,825,0
1580,1051,0
1582,658,0
1588,719,0
1599,606,0
1601,1845,0
1601,1846,0
1602,2821,0
1603,651,0
1618,562,0
1620,614,0
1627,584,0
1631,1059,0
1632,609,0
1635,629,0
1648,1258,0
1649,738,0
1652,699,0
1672,1483,0
1672,1895,0
1678,579,0
1680,626,0
1680,1717,0
1681,5110,0
1684,613,0
1691,2333,0
1711,634,0
1724,3256,0
1724,3740,0
1724,6307,0
1725,1042,0
1732,685,0
1733,595,0
1740,564,0
1741,597,0
1750,81,0
1753,900,0
1758,2099,0
1761,625,0
1772,914,0
1781,4841,0
1799,574,0
1803,592,0
1809,1041,0
1814,928,0
1835,550,0
1835,551,0
1835,4573,0
1835,5449,0
1841,911,0
1852,920,0
1862,1502,0
1863,959,0
1865,1456,0
1898,908,0
1898,5164,0
1911,965,0
1924,1256,0
1930,913,0
1931,918,0
1931,4466,0
1937,906,0
1961,922,0
1961,2876,0
1976,235,0
1976,901,0
1977,3651,0
1993,904,0
1999,940,0
2005,944,0
2014,1247,0
2025,2669,0
2025,5114,0
2027,936,0
2037,3390,0
2043,937,0
2050,6386,0
2053,19,0
2053,1157,0
2053,2740,0
2053,3839,0
2053,5417,0
2053,6457,0
2054,935,0
2058,896,0
2063,285,0
2063,907,0
2066,1182,0
2072,1347,0
2075,3298,0
2083,930,0
2092,921,0
2096,1263,0
2106,1190,0
2106,2398,0
2133,5420,0
2156,1225,0
2157,1185,0
2162,1175,0
2164,1222,0
2167,897,0
2171,4222,0
2186,1259,0
2187,1546,0
2191,1166,0
2193,1164,0
2196,1198,0
2196,3017,0
2199,1870,0
2201,2272,0
2206,1429,0
2208,1208,0
2225,5508,0
2228,1218,0
2245,1214,0
2245,5796,0
2246,1463,0
2248,1240,0
