genre,year,actors,movie_name,directors,id,duration
"Drama, Science Fiction",1982.0,,Blade Runner: The Final Cut,Ridley Scott,0,117 minutes
"Drama, Film Noir",1951.0,"Kirk Douglas,Richard Benedict,Jan Sterling",Ace in the Hole,Billy Wilder,1,111 minutes
"Drama, Foreign, Indie, Thriller",1966.0,"Jean-Paul Belmondo,Anna Karina,Graziella Galvani",Pierrot le Fou,,2,110 minutes
"Comedy, Drama, Indie",2007.0,"Reece Daniel Thompson,Anna Kendrick,Nicholas D'Agosto,Vincent Piazza,Denis O'Hare",Rocket Science,,3,101 minutes
"Action, Adventure, Foreign, Thriller",2007.0,"Daniel Craig,Eva Green,Judi Dench,Jeffrey Wright,Giancarlo Giannini,Mads Mikkelsen",Casino Royale,Martin Campbell,4,144 minutes
"Comedy, Drama, Foreign",2007.0,"Matthew MacFadyen,Keeley Hawes,Daisy Donovan,Alan Tudyk,Jane Asher,Rupert Graves,Peter Egan,Peter Dinklage",Death at a Funeral,Frank Oz,5,90 minutes
Comedy,2007.0,"Jonah Hill,Michael Cera,Christopher Mintz-Plasse,Bill Hader,Seth Rogen,Emma Stone",Superbad,Greg Mottola,6,113 minutes
"Drama, Foreign",2007.0,"Adelaide Leroux,Samuel Boidin,Henri Cretel",Flanders,,7,91 minutes
"Comedy, Drama, Romance",2007.0,"Scarlett Johansson,Laura Linney,Paul Giamatti,Donna Murphy,Alicia Keys,Nathan Corddry",The Nanny Diaries,"Shari Springer Berman,Robert Pulcini",8,106 minutes
"Comedy, Foreign, Indie, Romance",2007.0,"Julie Delpy,Adam Goldberg,Daniel Bruhl,Marie Pillet,Albert Delpy,Aleksia Landeau,Adan Jodorowsky,Alexandre Nahon",2 Days in Paris,,9,96 minutes
"Action, Crime, Drama, Thriller",2007.0,"Wanda DeJesus,Rick Gonzalez,Dania Ramirez,Gary Perez,Tego Calderon,Manny Perez",Illegal Tender,,10,108 minutes
"Drama, Sports Film",2007.0,"Samuel L. Jackson,Josh Hartnett,Teri Hatcher,Alan Alda,Kathryn Morris,Dakota Goyo,David Paymer",Resurrecting the Champ,Rod Lurie,11,112 minutes
"Drama, Foreign",2007.0,"Isabelle Huppert,Yannick Renier,Jeremie Renier,Patrick Descamps",Private Property,Joachim Lafosse,12,
Documentary,2007.0,,The King of Kong: A Fistful of Quarters,Seth Gordon,13,79 minutes
Documentary,2007.0,,The 11th Hour,,14,95 minutes
"Action, Drama, History, Romance, Western",2007.0,"Jon Voight,Terence Stamp,Dean Cain,Jon Gries,Lolita Davidovich",September Dawn,Christopher Cain,15,110 minutes
"Crime, Drama, Mystery, Thriller",2007.0,"Mark Ruffalo,Jake Gyllenhaal,Robert Downey Jr.,Anthony Edwards,Brian Cox,Charles Fleischer,Zach Grenier,Philip Baker Hall,Elias Koteas,John Carroll Lynch,Dermot Mulroney,Chloe Sevigny",Zodiac,David Fincher,16,157 minutes
"Animation, Comedy, Family",2007.0,"Patton Oswalt,Ian Holm,Lou Romano,Peter O'Toole,Brad Garrett,Janeane Garofalo,Peter Sohn,Brian Dennehy,Will Arnett",Ratatouille,,17,111 minutes
"Comedy, Sports Film",2007.0,"Dan Fogler,Christopher Walken,George Lopez,Robert Patrick,James Hong,Maggie Q,Thomas Lennon,Patton Oswalt",Balls of Fury,,18,90 minutes
"Drama, Fantasy, Foreign, Science Fiction, War",2006.0,"Ivana Baquero,Maribel Verdu,Sergi Lopez,Ariadna Gil,Alex Angulo,Doug Jones",Pan's Labyrinth,,19,118 minutes
"Comedy, Drama, Indie, Romance",2007.0,"Michael Pitt,Steve Buscemi,Alison Lohman,Gina Gershon,Joseph D'Onofrio,Rodrigo Lopresti,Cinque Lee",Delirious,,20,107 minutes
"Drama, Indie",2007.0,"Monty Lapica,Diane Venora,Kristina Anapau,William Stanford Davis",Self Medicated,,21,107 minutes
"Action, Crime, Drama, Thriller",2007.0,"Kevin Bacon,Aisha Tyler,Kelly Preston,Stuart Lafferty,Garrett Hedlund,Matthew O'Leary,John Goodman",Death Sentence,James Wan,22,105 minutes
"Drama, Indie, Thriller",2007.0,"Kevin Kline,Cesar Ramos,Alicja Bachleda-Curus,Paulina Gaitan,Linda Emond",Trade,Marco Kreuzpaintner,23,119 minutes
