id,title,cluster_id
166,"Skin Research and Technology",0909752x
43566,"Skin Res. Technol.",0909752x
144746,"Skin Res Technol",0909752x
167,"Annals of Allergy",00034738
22040,"Ann Allergy",00034738
119902,"ANN. ALLERGY",00034738
154797,"Annals Of Allergy",00034738
15692,"Eur. J. Med. Res.",09492321
18851,"Eur J Med Res",09492321
16242,"J. Allergy Clin. Immunol.",00916749
21902,"J Allergy Clin Immunol",00916749
53729,"Thirty-sixth Annual Meeting",00916749
53760,"th Annual Meeting",00916749
92548,"J. ALLERGY CLIN. IMMUNOL.",00916749
177126,"AAAAI th Annual Meeting",00916749
172,"Archives of Dermatology",0003987x
22059,"Arch Dermatol",0003987x
43070,"Arch. Dermatol.",0003987x
152760,"ARCH DERMATOL",0003987x
22038,"Clin Exp Allergy",09547894
38714,"Clin. Exp. Allergy",09547894
24426,"Arch Dermatol Res",03403696
43543,"Arch. Dermatol. Res.",03403696
43576,"ARCH. DERMATOL. RES.",03403696
43361,"J. Med. Assoc. Thailand",01252208
45405,"J Med Assoc Thailand",01252208
179,"BMJ",14685833
30306,"BMJ.",14685833
38419,"BMJ (Clinical Research Ed.)",14685833
181,"Journal of Pediatrics",00223476
3243,"The Journal of pediatrics",00223476
17124,"The Journal of Pediatrics",00223476
22008,"J Pediatr",00223476
30613,"J. Pediatr.",00223476
30748,"J. PEDIATR.",00223476
59176,"J PEDIATR",00223476
135391,"The journal of pediatrics",00223476
203288,"Journal of pediatrics. Vol.",00223476
182,"Cutis",00114162
43580,"CUTIS",00114162
182596,"Cutis (New York)",00114162
18232,"J Drugs Dermatol",15459616
29391,"J. Drugs Dermatol.",15459616
21951,"Pediatr Allergy Immunol",09056157
92130,"Pediatr. Allergy Immunol.",09056157
193,"Contact Dermatitis",01051873
112964,"CONTACT DERMATITIS",01051873
200,"Pediatric Dermatology",07368046
21849,"Pediatr Dermatol",07368046
43547,"Pediatr. Dermatol.",07368046
16469,"Br. J. Dermatol.",00070963
21470,"Br J Dermatol",00070963
43569,"BR. J. DERMATOL.",00070963
152797,"BR J DERMATOL",00070963
16581,"J. Int. Med. Res.",03000605
18587,"J Int Med Res",03000605
72019,"J. INT. MED. RES.",03000605
72057,"J.INT.MED.RES.",03000605
253,"Hautarzt",00178470
33025,"Malignes melanom",00178470
104284,"Kollagenosen im Kindesalter.",00178470
185004,"Der Hautarzt",00178470
15670,"Int. J. Dermatol.",00119059
24306,"Int J Dermatol",00119059
43574,"INT. J. DERMATOL.",00119059
152791,"INT J DERMATOL",00119059
255,"Southern Medical Journal",00384348
18136,"South Med J",00384348
33089,"South. Med. J.",00384348
107649,": Southern Medical Journal",00384348
45259,"SOUTH MED J",00384348
63072,"SOUTH. MED. J.",00384348
110381,"South.Med.J.",00384348
20864,"Curr Ther Res Clin Exp",0011393x
22900,"Current Therapeutic Research",0011393x
257,"Skin Pharmacology",10110283
115161,"Skin Pharmacol",10110283
56269,"Z Allgemeinmed",03008673
259,"Practitioner",00326518
260,"Therapeutische Umschau",00405930
18031,"Ther Umsch",00405930
57229,"Orale Antidiabetika .",00405930
104257,"Lupus Nephritis.",00405930
115858,"Ruckenschmerzen im Notfall.",00405930
117218,"Schlafapnoen bei Kindern.",00405930
163200,"THER. UMSCH.",00405930
203430,"Stürze und osteoporose",00405930
203465,"Ther. Umsch.",00405930
166074,"Der Kopfschmerz und die Zahne",00405930
262,"Ugeskrift for Laeger",00415782
13310,"Kulilte i vore boliger.",00415782
13410,"Luftskiftet i nyere boliger.",00415782
18558,"Ugeskr Laeger",00415782
43511,"UGESKR. LAEG.",00415782
70196,"Ugeskrift for laeger.",00415782
113937,"Ugeskrift for Læger",00415782
146897,"AED'erne kommer!",00415782
148049,"Ugeskrift for læger",00415782
152716,"Ugeskr Laeg",00415782
166027,"Juvenil idiopatisk arthritis",00415782
201292,"Ugeskrift for Laeger.",00415782
126718,"Am J Contact Dermat",1046199x
264,"Journal of Dermatology",03852407
21517,"J Dermatol",03852407
23673,"Journal of dermatology",03852407
43040,"J. Dermatol.",03852407
128653,"The Journal Of Dermatology",03852407
152892,"J DERMATOL",03852407
265,"Inflammation Research",10233830
21229,"Inflamm Res",10233830
38673,"Inflamm. Res.",10233830
21916,"Clin Pharmacol Ther",00099236
32860,"Clin. Pharmacol. Ther.",00099236
71923,"CLIN. PHARMACOL. THER.",00099236
21812,"J Clin Pharmacol",00912700
32644,"J. Clin. Pharmacol.",00912700
43402,"J. CLIN. PHARMACOL.",00912700
92647,"J.CLIN.PHARMACOL.",00912700
269,"Lipids",00244201
193269,"Lipids.",00244201
1213,"Leukemia and Lymphoma",01437787
1213,"Leukemia and Lymphoma",00952289
1213,"Leukemia and Lymphoma",00934544
1213,"Leukemia and Lymphoma",00599547
1213,"Leukemia and Lymphoma",00631462
1213,"Leukemia and Lymphoma",01420770
1213,"Leukemia and Lymphoma",00509899
1213,"Leukemia and Lymphoma",00227591
1237,"Clinics in Chest Medicine",00801853
1237,"Clinics in Chest Medicine",00024544
1239,"Journal of Gastroenterology",00787254
1242,"Nature Reviews Drug Discovery",00426218
1242,"Nature Reviews Drug Discovery",00424346
1242,"Nature Reviews Drug Discovery",00380744
1242,"Nature Reviews Drug Discovery",00417417
1242,"Nature Reviews Drug Discovery",00288704
1242,"Nature Reviews Drug Discovery",00094900
1242,"Nature Reviews Drug Discovery",00110916
1242,"Nature Reviews Drug Discovery",0046
1242,"Nature Reviews Drug Discovery",00060954
1263,"The Lancet Neurology",200500113676
1274,"Nature Reviews Cancer",0130
1699,"Journal of Leukocyte Biology",0130
1274,"Nature Reviews Cancer",01216436
