Department Code,Department Name,Department Full Name,School Code,School Name,Dept Budget Code,Is Degree Granting,Dept Name In Commencement Bk,School Name In Commencement Bk,Department Name History,Department Last Activity Date,Dlc Key,Warehouse Load Date
4,Architecture,  4 -Architecture,A,Architecture and Planning,031000,Y,Department of Architecture,School of Architecture and Planning,"",02/17/94 12:00 AM,D_ARCH,01/08/16 12:10 AM
11,Urban Studies and Planning, 11 -Urban Studies and Planning,A,Architecture and Planning,035000,Y,Department of Urban Studies and Planning,School of Architecture and Planning,"",02/17/94 12:00 AM,D_DUSP,01/08/16 12:10 AM
RED,Center for Real Estate Develop,RED -Center for Real Estate Develop,A,Architecture and Planning,033000,Y,Center for Real Estate Development,School of Architecture and Planning,"",09/24/09 12:00 AM,D_CRE,01/08/16 12:10 AM
MAS,Prog in Media Arts Sciences,MAS -Prog in Media Arts Sciences,A,Architecture and Planning,036000,Y,Program in Media Arts and Sciences,School of Architecture and Planning,"",02/17/94 12:00 AM,D_MAS,01/08/16 12:10 AM
SA&P,School of Arch & Planning,SA&P-School of Arch & Planning,A,Architecture and Planning,030000,Y,Program in School of Arch & Planning,School of Architecture and Planning,"",02/17/94 12:00 AM,D_DEANARCH,01/08/16 12:10 AM
1,Civil and Environmental Eng,  1 -Civil and Environmental Eng,E,Engineering,063000,Y,Department of Civil and Environmental Engineering,School of Engineering,Civil Eng (    ),08/21/96 12:00 AM,D_CEE,01/08/16 12:10 AM
2,Mechanical Engineering,  2 -Mechanical Engineering,E,Engineering,065000,Y,Department of Mechanical Engineering,School of Engineering,"",08/21/96 12:00 AM,D_MECHE,01/08/16 12:10 AM
3,Materials Science and Eng,  3 -Materials Science and Eng,E,Engineering,066000,Y,Department of Materials Science and Engineering,School of Engineering,"",02/17/94 12:00 AM,D_DMSE,01/08/16 12:10 AM
13,Ocean Engineering, 13 -Ocean Engineering,E,Engineering,067000,Y,Department of Ocean Engineering,School of Engineering,"",02/17/94 12:00 AM,D_OCEAN,01/08/16 12:10 AM
HST,Health Sciences & Technology,HST -Health Sciences & Technology,E,Engineering,061902,Y,Program in Health Sciences and Technology,School of Engineering,"",08/24/12 12:00 AM,D_IMES,01/08/16 12:10 AM
CTS,Ctr for Transportation Studies,CTS -Ctr for Transportation Studies,E,Engineering,069500,Y,"",School of Engineering,"",02/17/94 12:00 AM,D_CTL,01/08/16 12:10 AM
TPP,Technology and Policy Program,TPP -Technology and Policy Program,E,Engineering,069900,Y,Program in Technology and Policy,School of Engineering,"",02/17/94 12:00 AM,D_TPP,01/08/16 12:10 AM
